,股票代码,中文名称,每股收益(元),每股经营现金流(元),每股公积金(元),每股未分配利润(元),流通股本(亿股),流通市值(亿元),_time,stock_id,_stock_name,id,_quarter
14952,002932.XSHE,明德生物,6.9,5.37,5.61,31.33,1.02,57.0,2022-10-28,002932.XSHE,明德生物,0,2023-03-02
13633,603444.XSHG,吉比特,4.5,7.55,18.52,42.21,0.72,178.59,2022-10-27,603444.XSHG,吉比特,1,2023-03-02
15347,002756.XSHE,永兴材料,4.84,5.8,6.42,16.17,2.75,341.85,2022-10-28,002756.XSHE,永兴材料,2,2023-03-02
14645,300390.XSHE,天华超净,2.79,3.87,0.25,10.49,4.27,283.3,2022-10-28,300390.XSHE,天华超净,3,2023-03-02
14373,000661.XSHE,长春高新,3.32,1.7,8.34,32.51,3.78,644.64,2022-10-28,000661.XSHE,长春高新,4,2023-03-02
12224,603185.XSHG,上机数控,3.24,1.22,12.62,12.54,3.84,517.7,2022-10-10,603185.XSHG,上机数控,5,2023-03-02
15194,300769.XSHE,德方纳米,3.15,-11.2,30.43,16.77,1.42,399.56,2022-10-28,300769.XSHE,德方纳米,6,2023-03-02
14402,002821.XSHE,凯莱英,2.65,5.96,26.72,15.35,3.27,454.06,2022-10-28,002821.XSHE,凯莱英,7,2023-03-02
12446,002192.XSHE,融捷股份,2.61,1.83,2.4,3.87,2.59,291.67,2022-10-24,002192.XSHE,融捷股份,8,2023-03-02
14277,603095.XSHG,越剑智能,2.35,-0.14,9.77,7.8,0.37,8.68,2022-10-28,603095.XSHG,越剑智能,9,2023-03-02
